"","Mean.Log.Prey.mass","Mean.Log.Predator.mass","Mean.Log.Ratio","Median.Log.Prey.mass","Median.Log.Predator.mass","Median.Log.Ratio"
"insectivorous",-2.97649490953736,-0.19768531886863,-2.77880959066873,-3.11903048989848,-0.155625491649087,-2.6155823718929
"piscivorous",1.63552827510992,7.71223438647515,-6.07670611136523,1.81807677754543,7.97246601597457,-5.61677109766657
"planktivorous",-12.2973266641226,-2.8444155291803,-9.45291113494234,-13.9524764130374,-3.83506196429202,-9.82552601106642
"predacious",-3.3992920045753,4.77986971956941,-8.1791617241447,-1.52326021619305,6.4118182677099,-8.29090937545023
"predacious/piscivorous",2.41088614444964,6.06403752213459,-3.65315137768494,2.61006979274201,6.38012253689976,-3.71028336277709
