"","V1","V2","V3","V4","V5"
"113",39949,2,-26.1788332250898,2,-27.7410815753534
"114",39950,3,-19.2207157395826,3,-20.7829640898462
"115",39951,4,-133.853590657217,4,-134.894793311077
"116",39952,4,-138.433090764529,4,-139.474293418389
"117",39953,1,-97.9026838374688,1,-99.0743701001665
"118",39954,1,-117.452330927347,1,-118.077052519663
"119",39955,1,-123.090038806463,1,-123.252308359297
"120",39956,4,-121.531618386359,4,-121.802067641083
"121",39957,1,-117.511748741641,1,-117.674018294475
"122",39958,4,-129.66784266559,4,-129.938291920313
"123",39959,1,-118.615254075376,1,-118.77752362821
"124",39960,4,-134.6386700019,4,-135.67987265576
"125",39961,2,-145.093113910027,2,-145.926076033115
"126",39962,4,-69.9287046525614,4,-70.9699073064211
"127",39963,2,-104.575851185518,2,-103.365510813541
"128",39964,4,-44.1357827053485,4,-46.088593143178
"129",39965,1,-19.2682201352781,1,-18.6765464032694
"130",39966,1,-27.89094863258,1,-26.9831933535978
"131",39967,1,-20.9442795740343,1,-22.7853964906746
"132",39968,4,-8.82824606983015,4,-10.7810565076596
"133",39969,4,-26.2931980009732,4,-28.2460084388027
"134",39970,4,-13.5361096089618,4,-15.4889200467913
"135",39971,4,-5.65392161741096,4,-7.60673205524046
"136",39972,3,11.7431672125533,3,14.2993965310143
"137",39973,4,42.3172773980734,4,41.2760747442137
"138",39974,3,82.9919272955401,3,82.1589651724523
"139",39975,4,68.3901874319701,4,67.3489847781103
"140",39976,4,108.717684719001,4,108.447235464277
"141",39977,2,-38.4265498658594,2,-38.6429092696382
"142",39978,3,-14.5963362464169,3,-14.8126956501956
"143",39979,3,-30.6909620707938,3,-31.5239241938816
"144",39980,2,-12.1830503452023,2,-13.0160124682901
"145",39981,1,-127.445457776854,1,-128.070179369169
"146",39982,1,-72.7674478016198,1,-72.1757740696112
"147",39983,1,-295.983782765823,1,-294.790096947428
"148",39984,4,-111.969597709987,4,-113.010800363847
"149",39985,2,-84.0553619267395,2,-86.5101844822599
"150",39986,1,-91.903922518215,2,-94.184136999582
"151",39987,4,-147.355564548511,4,-142.90370575903
"152",39988,1,-93.0637040338663,1,-89.930136720696
"153",39989,3,-163.065504495885,3,-162.747738329166
"154",39990,4,-163.381233720944,4,-162.984026012545
"155",39991,1,-179.57438282653,1,-179.336058201491
"156",39992,4,15.2840076080811,3,16.1957663735276
"157",39993,2,-132.16150187194,2,-132.994463995027
"158",39994,1,-157.009003961575,1,-156.770679336536
"159",39995,3,-146.783356241077,3,-146.465590074357
"160",39996,3,-147.476750990401,3,-147.158984823682
"161",39997,3,-138.847791202879,3,-138.53002503616
"162",39998,4,-35.5942920875453,4,-35.1970843791461
"163",39999,4,-20.6432501724601,4,-20.2460424640609
"164",40000,3,-7.89371993267067,3,-7.57595376595133
"165",40001,4,-58.9779068359292,4,-58.58069912753
"166",40002,4,-131.17719801822,4,-131.447647272944
"167",40003,3,-120.938725052374,3,-121.155084456153
"168",40004,4,-141.723342451286,3,-139.682969158242
"169",40005,4,-134.900240939111,4,-132.475707690171
"170",40006,1,-148.955219184335,1,-147.500499234971
"171",40007,3,-138.88084530144,3,-136.941218702288
"172",40008,3,-90.7230976835744,3,-90.405331516855
"173",40009,4,-130.633005617066,4,-128.208472368126
"174",40010,4,55.6582700235141,4,54.6170673696544
"175",40011,2,-120.897895435452,2,-122.460143785716
